,Track_ID,Track_Name,Track_Artist,Preview_URL
57,2UVLuddklEVak5PXgC7baA,Groove Is in the Heart,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4eQJIXFEujzhTVVS1gIfu5'}, 'href': 'https://api.spotify.com/v1/artists/4eQJIXFEujzhTVVS1gIfu5', 'id': '4eQJIXFEujzhTVVS1gIfu5', 'name': 'Deee-Lite', 'type': 'artist', 'uri': 'spotify:artist:4eQJIXFEujzhTVVS1gIfu5'}]",https://p.scdn.co/mp3-preview/9f04c5adba9415770b90b9d08bf055752c1d19fd?cid=57daa17ab8e544dcab420c4b154c56d9
59,5lWSa1rmuSL6OBPOnkAqoa,Rasputin,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb'}, 'href': 'https://api.spotify.com/v1/artists/54R6Y0I7jGUCveDTtI21nb', 'id': '54R6Y0I7jGUCveDTtI21nb', 'name': 'Boney M.', 'type': 'artist', 'uri': 'spotify:artist:54R6Y0I7jGUCveDTtI21nb'}]",https://p.scdn.co/mp3-preview/b45b7088036c20d5790f64afca2a1b416c5cb707?cid=57daa17ab8e544dcab420c4b154c56d9
61,2gNAGt7gUiMkagkhIiDLPm,Dansa Pausa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7DXjp1eSv6Xf759gmCiApa'}, 'href': 'https://api.spotify.com/v1/artists/7DXjp1eSv6Xf759gmCiApa', 'id': '7DXjp1eSv6Xf759gmCiApa', 'name': 'Panetoz', 'type': 'artist', 'uri': 'spotify:artist:7DXjp1eSv6Xf759gmCiApa'}]",https://p.scdn.co/mp3-preview/7872b49150e61748d3766c705b4717db3c0e37c2?cid=57daa17ab8e544dcab420c4b154c56d9
62,70VjMtwhm3Q2HBQeJnPfmh,Hung Up,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW'}, 'href': 'https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW', 'id': '6tbjWDEIzxoDsBA1FuhfPW', 'name': 'Madonna', 'type': 'artist', 'uri': 'spotify:artist:6tbjWDEIzxoDsBA1FuhfPW'}]",https://p.scdn.co/mp3-preview/7822b6ba4b8b1798e18165a9da812340412cd40c?cid=57daa17ab8e544dcab420c4b154c56d9
63,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}]",https://p.scdn.co/mp3-preview/bb0a310830636ebf8e5f6a1fa03d129a9724f7ec?cid=57daa17ab8e544dcab420c4b154c56d9
70,0XvjOhwCnXXFOSlBbV9jPN,Barbra Streisand - Radio Edit,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0q8J3Yj810t5cpAYEJ7gxt'}, 'href': 'https://api.spotify.com/v1/artists/0q8J3Yj810t5cpAYEJ7gxt', 'id': '0q8J3Yj810t5cpAYEJ7gxt', 'name': 'Duck Sauce', 'type': 'artist', 'uri': 'spotify:artist:0q8J3Yj810t5cpAYEJ7gxt'}]",https://p.scdn.co/mp3-preview/c6ea7197c02430f1c51aa9478be44a5a40ca0192?cid=57daa17ab8e544dcab420c4b154c56d9
72,6T27IN7Ai94BeDv6PPCmoC,Turn Me On (feat. Nicki Minaj),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh'}, 'href': 'https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh', 'id': '0hCNtLu0JehylgoiP8L4Gh', 'name': 'Nicki Minaj', 'type': 'artist', 'uri': 'spotify:artist:0hCNtLu0JehylgoiP8L4Gh'}]",https://p.scdn.co/mp3-preview/83ca8ab672a0a2dc4b8fc7ed30a3ce234e9a8fe2?cid=57daa17ab8e544dcab420c4b154c56d9
77,26vKwxgkbm2jcKyjvmScPK,I Feel for You,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6mQfAAqZGBzIfrmlZCeaYT'}, 'href': 'https://api.spotify.com/v1/artists/6mQfAAqZGBzIfrmlZCeaYT', 'id': '6mQfAAqZGBzIfrmlZCeaYT', 'name': 'Chaka Khan', 'type': 'artist', 'uri': 'spotify:artist:6mQfAAqZGBzIfrmlZCeaYT'}]",https://p.scdn.co/mp3-preview/0493221994abde6548ddb535a5244d96f220e1ae?cid=57daa17ab8e544dcab420c4b154c56d9
78,3ehrxAhYms24KLPG8FZe0W,We Are Young (feat. Janelle Monáe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5nCi3BB41mBaMH9gfr6Su0'}, 'href': 'https://api.spotify.com/v1/artists/5nCi3BB41mBaMH9gfr6Su0', 'id': '5nCi3BB41mBaMH9gfr6Su0', 'name': 'fun.', 'type': 'artist', 'uri': 'spotify:artist:5nCi3BB41mBaMH9gfr6Su0'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6ueGR6SWhUJfvEhqkvMsVs'}, 'href': 'https://api.spotify.com/v1/artists/6ueGR6SWhUJfvEhqkvMsVs', 'id': '6ueGR6SWhUJfvEhqkvMsVs', 'name': 'Janelle Monáe', 'type': 'artist', 'uri': 'spotify:artist:6ueGR6SWhUJfvEhqkvMsVs'}]",https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=57daa17ab8e544dcab420c4b154c56d9
80,2goLsvvODILDzeeiT4dAoR,Believe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/72OaDtakiy6yFqkt4TsiFt'}, 'href': 'https://api.spotify.com/v1/artists/72OaDtakiy6yFqkt4TsiFt', 'id': '72OaDtakiy6yFqkt4TsiFt', 'name': 'Cher', 'type': 'artist', 'uri': 'spotify:artist:72OaDtakiy6yFqkt4TsiFt'}]",https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=57daa17ab8e544dcab420c4b154c56d9
