,Unnamed: 0,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability,code
5812,6169,j-dance,Breathe Again,4FDdBqOTzfWfuDfODCOply,32,-4.593,150.05,192000,0.93,8,0.00336,0.0425,0.6579999999999999,0.625,107
5813,6170,j-dance,night voice,1lzJDp8HXsGp1QUhgjrzGP,3,-7.5,199.632,202608,0.8590000000000001,7,0.9470000000000001,0.0531,0.665,0.37799999999999995,107
5814,6171,j-dance,光(Single Mix),3ksXui0xvSuCO39FxSti9s,17,-8.249,135.009,430480,0.862,1,0.0238,0.0455,0.0874,0.539,107
5815,6172,j-dance,ナナイロホリデー,60j3MlKwqMgU7A6vawanAi,14,-4.35,113.99799999999999,305227,0.7879999999999999,10,2.7000000000000002e-05,0.0854,0.8740000000000001,0.75,107
5816,6173,j-dance,Koi,27T1rBeQmGoyX7oLfjX2Pb,0,-9.373,130.002,234847,0.264,6,0.00902,0.0348,0.214,0.7290000000000001,107
5817,6174,j-dance,madagascar,5qImm30KRiWG5UzJ1ubPd9,0,-11.815999999999999,123.99600000000001,354547,0.457,2,0.882,0.113,0.0367,0.782,107
5818,6175,j-dance,BAD THINGS feat. MEREKI,7nEdMLHVJiSsxhLxYDcrqy,13,-6.183,127.961,225000,0.8009999999999999,4,0.153,0.0542,0.14300000000000002,0.674,107
5819,6176,j-dance,ミラーボール,533H3fgrcSC86bTEyZY3H4,2,-7.597,114.993,241162,0.7859999999999999,6,0.011000000000000001,0.04,0.92,0.802,107
5820,6177,j-dance,ベストフレンド,3w095FqAkNkvj1UrKLqhby,5,-5.608,117.971,239293,0.794,4,7.5e-05,0.028999999999999998,0.647,0.711,107
5821,6178,j-dance,Welcome to Tokyo,1tZ6HD9dwU5LCRd8vbq3wW,0,-4.518,128.023,256991,0.9890000000000001,8,0.247,0.0611,0.358,0.588,107
5822,6179,j-dance,ユーフォリック / UFOholic,4KWxDhnD5PUoi8ps20An9R,0,-7.534,125.006,468000,0.9520000000000001,0,0.946,0.0359,0.61,0.518,107
5823,6180,j-dance,Wonder Trip,1UeL6IAa7EA4wkHv0iH9md,1,-1.023,127.97399999999999,320263,0.9420000000000001,6,7.23e-06,0.0442,0.49200000000000005,0.5710000000000001,107
5824,6181,j-dance,ONE MINUTE OF LOVE,3OOkdI7yqPBvAPidBvsXuR,3,-8.03,166.99,59667,0.6940000000000001,7,0.124,0.0646,0.777,0.35200000000000004,107
5825,6182,j-dance,Crazy Crazy (feat. Charli XCX & Kyary Pamyu Pamyu),2dueLmS2fe4RM3Uc4fGy2c,30,-2.786,125.071,225540,0.826,6,0.00015900000000000002,0.0447,0.9420000000000001,0.7020000000000001,107
5826,6183,j-dance,Detonator,47ulGy1woPXfzod4KQKjWw,11,-3.8710000000000004,129.938,296280,0.8140000000000001,11,0.025,0.0613,0.845,0.6679999999999999,107
5827,6184,j-dance,Samurai,6rkZ2wgpDuD3hSTRHX53kT,0,-6.422000000000001,129.00799999999998,353653,0.895,11,0.8759999999999999,0.0303,0.73,0.6629999999999999,107
5828,6185,j-dance,PINK,7Gh8VCJsO4kHKW0EhMtdz9,28,-6.107,120.031,278987,0.65,8,0.000172,0.0496,0.7559999999999999,0.7240000000000001,107
5829,6186,j-dance,woman,5M4CVtPA1cn0O2YgV2ILFo,20,-2.401,128.01,281907,0.789,9,0.0,0.0395,0.6940000000000001,0.81,107
5830,6187,j-dance,Easy That Would Be,7JSADgIqKVBQrfOQ2u42Zx,2,-9.302999999999999,123.0,331093,0.696,7,0.0526,0.0337,0.511,0.6809999999999999,107
